Product,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl
Wheat & Rye (Bread),0.7,0.8,1.6,1.3,2.3,3.1
Maize (Meal),0.7,0.7,1.7,1.2,2.3,3.5
Barley (Beer),0.6,0.7,1.2,1.2,1.6,1.8
Oatmeal,0.8,0.9,2.5,2.6,4.1,4.3
Rice,1.2,1.5,4.5,3.7,8.8,10.3
Potatoes,0.1,0.2,0.5,0.5,0.6,0.7
Cassava,0.3,0.4,1.3,1.1,2.1,2.2
Cane Sugar,0.6,0.9,3.2,3.2,5.1,5.6
Beet Sugar,1.0,1.2,1.8,1.8,2.4,2.6
Other Pulses,0.9,1.0,1.8,1.4,3.8,4.0
Peas,0.5,0.6,1.0,0.8,1.7,1.9
Nuts,-4.0,-3.7,0.4,-1.3,3.8,10.8
Groundnuts,1.4,1.6,3.2,3.3,5.8,6.2
Soymilk,0.5,0.6,1.0,0.9,1.5,1.7
Tofu,1.4,1.6,3.2,2.6,5.6,7.3
Soybean Oil,2.2,2.4,6.3,3.9,13.4,18.8
Palm Oil,2.8,3.6,7.3,7.2,12.0,13.1
Sunflower Oil,2.2,2.5,3.6,3.5,4.6,4.9
Rapeseed Oil,2.2,2.5,3.8,3.5,4.6,7.2
Olive Oil,2.1,2.9,5.4,5.1,7.6,10.8
Tomatoes,0.4,0.4,2.1,0.7,6.0,12.6
Onions & Leeks,0.3,0.3,0.5,0.4,0.8,0.8
Root Vegetables,0.2,0.2,0.4,0.4,0.6,0.6
Brassicas,0.2,0.2,0.5,0.4,1.0,1.2
Other Vegetables,0.2,0.2,0.5,0.4,1.0,1.1
Citrus Fruit,0.0,0.1,0.4,0.3,0.6,0.7
Bananas,0.6,0.6,0.9,0.8,1.2,1.3
Apples,0.3,0.3,0.4,0.4,0.6,0.6
Berries & Grapes,0.6,0.8,1.5,1.4,2.7,2.9
Wine,0.7,0.9,1.8,1.6,2.7,4.7
Other Fruit,0.3,0.4,1.1,0.7,2.9,3.0
Coffee,4.4,5.2,28.5,8.2,84.9,85.7
Dark Chocolate,-4.0,-0.1,46.7,5.0,134.7,257.5
Bovine Meat (beef herd),37.6,40.4,99.5,60.4,209.9,269.2
Bovine Meat (dairy herd),14.9,17.9,33.3,34.1,50.9,56.7
Lamb & Mutton,23.7,24.5,39.7,40.6,54.4,60.2
Pig Meat,6.9,7.4,12.3,10.6,22.3,23.8
Poultry Meat,4.0,4.2,9.9,7.5,20.1,20.8
Milk,1.5,1.7,3.2,2.7,4.8,7.0
Cheese,10.2,10.9,23.9,18.6,39.3,58.8
Eggs,2.9,2.9,4.7,4.2,8.4,8.5
Fish (farmed),5.4,5.7,13.6,7.9,26.5,32.6
Crustaceans (farmed),7.4,8.0,26.9,14.7,52.1,115.1